"Plot","PloKg_Ha.sum","Comp"
1,116768.078530021,3
2,215307.84571742,3
3,132744.998912737,3
4,229151.383838334,3
5,243532.102850111,3
6,66648.7969190928,3
7,111386.716985515,3
8,117319.397216607,2
9,156277.008683275,2
10,260076.780407526,3
11,199295.044399856,3
12,177270.683794349,4
13,54992.422371913,4
14,243095.164374354,4
15,168831.895044553,4
16,199380.402326742,4
17,59720.7144304473,4
18,242693.439323327,4
19,202443.539964318,4
20,160113.933884543,2
21,89973.8661431332,2
22,80500.1448036255,2
23,167204.280508839,2
24,180275.033645839,3
25,120774.455849721,2
26,151411.213276466,2
27,145681.359893844,2
28,207855.277568288,3
29,253979.917051739,3
30,294665.373054665,4
31,223753.155938184,4
32,209824.274173063,4
33,172913.306608086,4
34,207349.126675991,4
35,97158.6647672517,2
36,111733.873669956,2
37,196812.356246571,2
38,170132.426884053,2
39,216992.278022961,3
40,93626.1534819589,2
41,168541.15287408,2
42,220330.530445827,2
43,36370.9506382726,4
44,192930.864210771,6
45,277803.8318993,5
46,169158.182274652,5
47,250828.854855369,5
48,168928.008233544,5
49,170228.598399747,6
50,158178.753809126,9
51,138728.611990531,8
52,206422.079073652,8
53,123468.643768255,7
54,122846.209639078,7
55,210084.982929975,7
56,211995.809392961,7
57,268309.977246557,7
58,217045.536415888,8
59,79098.0333196602,8
60,198616.945019101,8
61,247668.110678403,9
62,159422.545109047,9
64,145265.438349733,9
65,106814.118882294,9
66,153297.587754457,8
67,198500.787721839,7
68,191419.959964021,10
69,204194.757219177,7
70,175941.820754857,7
71,148006.635080037,7
72,292250.555151401,7
73,174270.628951829,7
74,135520.655594708,8
75,130614.414904395,9
76,234579.969556644,7
77,159007.589207435,7
78,252135.346174565,7
79,183488.447902819,7
80,123704.44922236,10
81,299821.261086373,10
82,202128.85316517,10
83,237904.175706597,10
84,239172.750404017,10
85,155806.861018172,7
86,132647.732958392,7
87,156400.327686157,11
88,201392.16436447,10
89,289033.849720524,10
90,285451.182220289,10
92,201316.477940922,10
93,229761.238496019,10
94,236252.9753735,10
95,198323.046495307,12
96,130972.87586425,14
97,245691.217180728,13
98,147155.681160208,13
99,168315.286992878,13
100,126289.094557262,13
101,200242.514552023,13
102,144828.875602319,13
103,18730.4121664698,13
104,162841.08155953,14
105,276568.921598474,14
106,163572.510835561,14
107,235839.227119297,14
108,331013.59222706,14
109,145618.972996348,14
110,180031.664421304,14
111,144796.336018543,14
112,150648.673000796,14
113,200896.091201574,13
114,163570.623406789,13
115,289160.825237345,10
116,162298.706275977,10
117,184555.275240557,13
118,128088.07495688,13
119,232205.466569143,13
120,232275.86686468,13
121,256035.114261427,13
122,234127.093899962,14
123,113236.46644559,14
124,204062.653113772,14
125,157460.024848895,17
126,305176.522943714,17
127,196267.58665731,17
128,159252.834834909,17
129,232302.987540958,17
130,181429.780975868,17
131,221060.102948953,13
132,213404.380601256,13
133,206427.908773716,13
134,209215.392724236,10
135,176613.403547442,10
136,235814.209698383,10
137,137181.894090727,16
138,157544.763258427,13
139,103040.619779286,13
140,34063.6479641006,17
141,211846.875394751,17
142,178589.98037985,17
143,239367.587705036,17
144,150955.257063501,17
145,242335.50923432,17
146,177938.035474417,17
147,61392.2845267689,17
148,360633.590917403,13
149,150062.678521125,16
150,161935.890053029,15
151,299983.139836812,15
152,199901.614367683,16
153,145859.94665988,16
154,185532.647430353,17
155,70026.5377107189,17
156,157642.987219721,17
157,183440.962741484,17
158,184187.944841186,17
159,230451.822079341,15
160,194717.210004794,19
161,227477.392491957,19
162,187796.421551524,19
163,206369.88683572,18
164,123416.847239588,18
165,160876.105083942,18
166,135089.996214349,19
168,316638.83352031,19
169,311516.914526324,19
170,209724.198015251,20
171,209942.129053142,20
172,152058.58254548,19
173,15730.3449686918,19
174,156254.303529156,6
175,211582.823611393,6
176,203287.143993121,6
177,154458.188363324,6
178,157552.086936538,6
179,247948.383685129,6
180,241289.110011219,6
181,191041.473903224,6
182,165691.257587364,6
183,234149.297188437,6
184,157044.540290497,6
185,166015.780526136,9
186,116723.35647885,9
187,107863.670831212,9
188,256781.70574223,9
189,216492.090623347,9
190,137145.981551129,12
191,203298.602724087,9
192,212442.712962643,9
193,51585.2993580208,9
194,202730.34975759,9
195,165496.63087925,9
196,189925.81526418,12
197,260389.772717613,12
198,162075.362330301,12
199,246686.935095358,9
200,236521.421279708,5
201,222565.480248884,5
202,42387.2761795565,4
204,246815.45918564,5
205,223824.174055935,5
206,128915.512792634,7
208,133102.867299585,7
209,147319.518555127,8
210,71333.3273500937,8
211,199468.142678521,7
212,240748.51978571,7
213,172187.646397454,7
214,189392.076824995,7
215,250808.845539505,10
216,168489.019704166,7
217,159072.846172094,7
218,187844.721057808,7
219,130940.058845624,7
220,82696.4984111138,10
221,283296.83868975,7
222,228254.204766164,7
223,182346.272260469,7
224,171578.942567818,7
225,250179.594925448,12
226,251892.535753646,12
227,210043.885753399,11
228,213720.316872835,7
229,325175.199517651,7
230,212771.47382415,11
231,293252.848509709,11
232,215930.794813757,11
233,171886.217200496,11
234,302991.703256352,11
235,171178.369916429,11
236,209639.74385573,11
237,207365.08536495,12
238,166239.796736235,12
239,140820.6871105,12
240,267751.457411425,12
241,185188.53595133,12
242,158765.394177214,12
243,192604.9079385,12
245,310861.743687699,11
246,247316.427358495,11
247,223459.23471531,11
248,309330.068695235,11
249,84178.803724369,11
250,219073.559154505,11
251,39749.6165076133,10
252,186983.591253466,10
253,166911.562495367,17
254,60260.8587052678,17
255,124470.064380779,16
256,241953.025323337,17
257,192436.836480629,20
258,178832.001181163,17
259,188288.684476359,17
260,207627.993095882,17
261,160183.379336078,20
262,176678.056680982,1
263,334649.436817681,1
264,285598.098323144,1
265,148436.878122792,1
266,294989.422964965,1
267,210250.274252136,1
268,175678.019427408,1
269,187896.608896774,1
270,164083.276332762,1
271,271383.121274272,1
272,220472.1815877,1
273,235607.459235061,1
274,159794.890868476,1
275,288192.228107718,1
276,228041.842376559,1
277,262393.217976406,1
278,153401.87680325,1
279,218881.662988094,1
280,246515.060402386,1
281,133412.619611254,1
282,184607.343416871,1
283,209810.579140371,1
284,187204.085819623,1
285,127589.375565253,4
286,322466.825632713,4
287,268532.973935347,4
288,133450.034742986,4
289,180044.300198178,4
290,20487.6139228933,4
